sentiment,direction,n_trades,avg_pnl,win_rate,avg_notional,avg_leverage
EXTREME FEAR,BUY,807,0.0,0.0,1480.0101313841387,60628.38755941689
EXTREME FEAR,CLOSE LONG,6241,81.19737058420125,0.8464989585002404,6831.590785890242,36438.42391287614
EXTREME FEAR,CLOSE SHORT,3117,123.4002384802695,0.7058068655758742,3976.0735315970483,-172313.65735888356
EXTREME FEAR,LONG > SHORT,5,1.3319556000000001,1.0,852.308632,76.464
EXTREME FEAR,OPEN LONG,7005,0.0,0.0,6061.629253892934,45209.22812499929
EXTREME FEAR,OPEN SHORT,3174,0.0,0.0,4389.600846813485,-36730.44183932262
EXTREME FEAR,SELL,1042,-135.0217301391555,0.42034548944337813,1411.149477600355,10525.517620726672
EXTREME FEAR,SHORT > LONG,6,-1932.5169403333337,0.8333333333333334,65254.42947766667,-1858.8215166666669
EXTREME FEAR,SPOT DUST CONVERSION,3,0.0,0.0,0.23145969162533334,0.015448826666666667
EXTREME GREED,BUY,5132,0.0,0.0,2225.380395048071,26010.636506836
EXTREME GREED,CLOSE LONG,7186,61.83078251934317,0.8876983022543835,3929.9680873984134,129429.29659784025
EXTREME GREED,CLOSE SHORT,6497,28.97048960489457,0.8585501000461752,3000.1305190637217,-68856.838024499
EXTREME GREED,LONG > SHORT,7,120.60096842857142,0.8571428571428571,10437.571286,119898.52571428572
EXTREME GREED,OPEN LONG,6300,0.0,0.0,4664.545358086825,31367.725961250795
EXTREME GREED,OPEN SHORT,7663,0.0,0.0,3352.0865873018397,-33154.55128873026
EXTREME GREED,SELL,7164,290.57235428964265,0.9243439419318816,1414.2193338121383,30710.373105801216
EXTREME GREED,SHORT > LONG,11,11.771237818181818,0.8181818181818182,3064.138039090909,-83.02608545454547
EXTREME GREED,SPOT DUST CONVERSION,32,0.0,0.0,0.04070567653522656,0.279636366875
FEAR,BUY,3207,0.0,0.0,1635.567022550209,64237.02841130887
FEAR,CLOSE LONG,17260,83.00011109716107,0.8988991888760139,9226.569053249015,91544.51941675898
FEAR,CLOSE SHORT,9221,207.6766578725735,0.861620214727253,8167.151669530311,-147515.59817897517
FEAR,LONG > SHORT,14,4.795641571428583,0.6428571428571429,25799.103925714287,23.46767857142857
FEAR,OPEN LONG,17824,0.0,0.0,9313.669057016214,59510.199182455115
FEAR,OPEN SHORT,10887,0.0,0.0,6644.1704041209705,-88618.44376780013
FEAR,SELL,3364,-3.1412169842449464,0.753269916765755,1348.448288739991,4961.096969290215
FEAR,SHORT > LONG,18,1115.9431563888888,0.8888888888888888,15574.513028888889,-2150.2936072222224
FEAR,SPOT DUST CONVERSION,42,0.0,0.0,0.282597738906468,4587.302030408453
GREED,AUTO-DELEVERAGING,8,7184.80700325,1.0,21188.468108,25026.2375
GREED,BUY,4685,0.0,0.0,1879.0151552626467,21765.60543461033
GREED,CLOSE LONG,7998,88.95855434596149,0.8629657414353589,9513.17038160015,71035.43666170418
GREED,CLOSE SHORT,11322,55.195495597332624,0.6885709238650415,4566.529723676205,-626649.9691873644
GREED,LIQUIDATED ISOLATED SHORT,1,-12752.91304,0.0,32910.884328,-2455.6
GREED,LONG > SHORT,16,22.7119109375,0.625,16636.572896875,59.328611875
GREED,OPEN LONG,8544,0.0,0.0,11019.785934176029,41887.50916308287
GREED,OPEN SHORT,11664,0.0,0.0,4022.507306859911,-144145.8444558745
GREED,SELL,5986,128.02210566104245,0.7719679251587036,1696.2267436995105,24707.36010571751
GREED,SETTLEMENT,1,-29.215368,0.0,782.83296,-1092.0
GREED,SHORT > LONG,23,100.66571560869565,0.9130434782608695,12875.62698130435,-2705.068876086956
GREED,SPOT DUST CONVERSION,55,0.0,0.0,0.13443352628220573,129.17727004274545
NEUTRAL,BUY,2885,0.0,0.0,1571.3439742535252,46593.52614808788
NEUTRAL,CLOSE LONG,9993,52.815786985990194,0.8613029120384269,7605.285859568298,120183.23200492244
NEUTRAL,CLOSE SHORT,5850,94.79631328957265,0.7765811965811966,3558.188078683248,-135872.6102983487
NEUTRAL,LONG > SHORT,15,47.33219293333333,0.7333333333333333,12481.663957333334,279.402
NEUTRAL,OPEN LONG,10222,0.0,0.0,4711.719531572099,29231.32611236842
NEUTRAL,OPEN SHORT,6353,0.0,0.0,4188.827721184794,-143292.3934472706
NEUTRAL,SELL,2346,89.51723859974425,0.763000852514919,1627.0736464502984,32561.909300086438
NEUTRAL,SHORT > LONG,12,-11.945099500000007,0.8333333333333334,9545.79227,-653.0211783333333
NEUTRAL,SPOT DUST CONVERSION,10,0.0,0.0,0.4310058597438,1564.5207753299999
UNKNOWN,CLOSE SHORT,6,7078.6656883333335,1.0,14778.141601666668,-13628.766666666668
