sentiment,lev_bucket,n_trades,avg_pnl,win_rate
EXTREME FEAR,10-20x,132,103.52793053787877,0.5227272727272727
EXTREME FEAR,2-5x,485,7.515065769072162,0.3237113402061856
EXTREME FEAR,20-50x,88,-93.33229725,0.19318181818181818
EXTREME FEAR,5-10x,596,22.69663776510067,0.44798657718120805
EXTREME FEAR,<=2x,575,7.307692073043478,0.28
EXTREME FEAR,>50x,13106,25.884361068823438,0.38570120555470777
EXTREME GREED,10-20x,370,23.1250680027027,0.32972972972972975
EXTREME GREED,2-5x,741,26.37054997705803,0.32793522267206476
EXTREME GREED,20-50x,701,2.900156172610556,0.4065620542082739
EXTREME GREED,5-10x,377,25.34685229177719,0.33156498673740054
EXTREME GREED,<=2x,1520,32.84214489934211,0.33289473684210524
EXTREME GREED,>50x,21587,112.9019720369667,0.5431972946680873
FEAR,10-20x,839,64.7640957818832,0.4696066746126341
FEAR,2-5x,954,37.31840435324948,0.39937106918238996
FEAR,20-50x,2301,58.25978908474576,0.45328118209474144
FEAR,5-10x,754,69.02022223872679,0.45490716180371354
FEAR,<=2x,2508,27.054521221690592,0.31259968102073366
FEAR,>50x,33981,31.729301874400402,0.4447485359465584
GREED,10-20x,1017,24.328402196656835,0.34611602753195675
GREED,2-5x,640,29.8854328109375,0.35
GREED,20-50x,1843,30.268103302224635,0.39717851329354315
GREED,5-10x,704,32.85207445454545,0.2940340909090909
GREED,<=2x,3112,19.886274937982005,0.2782776349614396
GREED,>50x,19391,69.67180466737146,0.47238409571450674
NEUTRAL,10-20x,355,86.99943850140845,0.4225352112676056
NEUTRAL,2-5x,467,-23.21681301284797,0.4068522483940043
NEUTRAL,20-50x,894,115.14193775950784,0.40492170022371365
NEUTRAL,5-10x,344,2.5194962674418595,0.5465116279069767
NEUTRAL,<=2x,2651,14.270028106374953,0.2504715201810637
NEUTRAL,>50x,20471,28.177890255776465,0.43251428850569096
